version,date,asset,downloads,size
00.05.00,2020-05-10T20:09:58Z,obsidian-0.5.0.asar.gz,215,3305911
00.05.01,2020-05-13T23:39:13Z,obsidian-0.5.1.asar.gz,466,3333033
00.05.02,2020-05-15T19:37:07Z,obsidian-0.5.2.asar.gz,199,4013743
00.05.03,2020-05-15T22:13:35Z,obsidian-0.5.3.asar.gz,628,4015242
00.06.00,2020-05-18T22:02:49Z,obsidian-0.6.0.asar.gz,848,4021171
00.06.01,2020-05-22T23:57:56Z,obsidian-0.6.1.asar.gz,604,4029073
00.06.02,2020-05-23T18:34:45Z,obsidian-0.6.2.asar.gz,1231,4030425
00.06.03,2020-05-25T22:13:12Z,obsidian-0.6.3.asar.gz,380,4112484
00.06.04,2020-05-26T02:15:20Z,Obsidian-0.6.4.AppImage,3224,76799131
00.06.04,2020-05-26T02:15:20Z,Obsidian-0.6.4.dmg,7984,71583869
00.06.04,2020-05-26T02:15:20Z,Obsidian.0.6.4.exe,5305,53594352
00.06.04,2020-05-26T02:15:20Z,obsidian-0.6.4.asar.gz,1782,4112670
00.06.04,2020-05-26T02:15:20Z,obsidian_0.6.4_amd64.snap,1279,64380928
00.06.05,2020-05-29T22:17:51Z,Obsidian-0.6.5.AppImage,1368,76803451
00.06.05,2020-05-29T22:17:51Z,Obsidian-0.6.5.dmg,3998,71600842
00.06.05,2020-05-29T22:17:51Z,Obsidian.0.6.5.exe,2856,53600600
00.06.05,2020-05-29T22:17:51Z,obsidian-0.6.5.asar.gz,4555,4118514
00.06.05,2020-05-29T22:17:51Z,obsidian_0.6.5_amd64.snap,436,64385024
00.06.06,2020-06-01T18:28:11Z,obsidian-0.6.6.asar.gz,150,4124111
00.06.07,2020-06-02T19:11:21Z,Obsidian-0.6.7.AppImage,2628,76811536
00.06.07,2020-06-02T19:11:21Z,Obsidian-0.6.7.dmg,7490,71590866
00.06.07,2020-06-02T19:11:21Z,Obsidian.0.6.7.exe,8922,53563350
00.06.07,2020-06-02T19:11:21Z,obsidian-0.6.7.asar.gz,7544,4124359
00.06.07,2020-06-02T19:11:21Z,obsidian_0.6.7_amd64.snap,1125,64393216
00.07.00,2020-06-09T20:45:43Z,obsidian-0.7.0.asar.gz,209,4142920
00.07.01,2020-06-11T01:17:41Z,obsidian-0.7.1.asar.gz,272,4143178
00.07.02,2020-06-14T04:06:17Z,obsidian-0.7.2.asar.gz,216,4160636
00.07.03,2020-06-14T22:50:10Z,Obsidian-0.7.3.AppImage,2985,76840432
00.07.03,2020-06-14T22:50:10Z,Obsidian-0.7.3.dmg,8668,71633596
00.07.03,2020-06-14T22:50:10Z,Obsidian.0.7.3.exe,10053,53632600
00.07.03,2020-06-14T22:50:10Z,obsidian-0.7.3.asar.gz,14545,4160655
00.07.03,2020-06-14T22:50:10Z,obsidian_0.7.3_amd64.snap,1129,64417792
00.07.04,2020-06-23T20:58:54Z,Obsidian-0.7.4.AppImage,1655,77196940
00.07.04,2020-06-23T20:58:54Z,Obsidian-0.7.4.dmg,3785,72013221
00.07.04,2020-06-23T20:58:54Z,Obsidian.0.7.4.exe,5496,53952760
00.07.04,2020-06-23T20:58:54Z,obsidian-0.7.4.asar.gz,9425,4510098
00.07.04,2020-06-23T20:58:54Z,obsidian_0.7.4_amd64.snap,563,64745472
00.07.05,2020-07-01T09:30:27Z,obsidian-0.7.5.asar.gz,292,4511872
00.07.06,2020-07-03T04:15:53Z,Obsidian-0.7.6.AppImage,2173,77414392
00.07.06,2020-07-03T04:15:53Z,Obsidian-0.7.6.dmg,5693,72196817
00.07.06,2020-07-03T04:15:53Z,Obsidian.0.7.6.exe,7671,54106872
00.07.06,2020-07-03T04:15:53Z,obsidian-0.7.6.asar.gz,13721,4721426
00.07.06,2020-07-03T04:15:53Z,obsidian_0.7.6_amd64.snap,734,64929792
00.08.00,2020-07-14T04:24:48Z,Obsidian-0.8.0.AppImage,2200,77459925
00.08.00,2020-07-14T04:24:48Z,Obsidian-0.8.0.dmg,5120,72253385
00.08.00,2020-07-14T04:24:48Z,Obsidian.0.8.0.exe,7163,54082144
00.08.00,2020-07-14T04:24:48Z,obsidian-0.8.0.asar.gz,12185,4768475
00.08.00,2020-07-14T04:24:48Z,obsidian_0.8.0_amd64.snap,702,64974848
00.08.01,2020-07-21T20:14:50Z,Obsidian-0.8.1.AppImage,1942,77471796
00.08.01,2020-07-21T20:14:50Z,Obsidian-0.8.1.dmg,5141,72256424
00.08.01,2020-07-21T20:14:50Z,Obsidian.0.8.1.exe,7538,54094552
00.08.01,2020-07-21T20:14:50Z,obsidian-0.8.1.asar.gz,11017,4777786
00.08.01,2020-07-21T20:14:50Z,obsidian_0.8.1_amd64.snap,626,64983040
00.08.02,2020-07-30T19:05:08Z,Obsidian-0.8.2.AppImage,3578,77660391
00.08.02,2020-07-30T19:05:08Z,Obsidian-0.8.2.dmg,6276,72444672
00.08.02,2020-07-30T19:05:08Z,Obsidian.0.8.2.exe,10030,54235808
00.08.02,2020-07-30T19:05:08Z,obsidian-0.8.2.asar.gz,11629,4969961
00.08.02,2020-07-30T19:05:08Z,obsidian_0.8.2_amd64.snap,1006,65138688
00.08.03,2020-08-11T00:24:52Z,obsidian-0.8.3.asar.gz,551,5042211
00.08.04,2020-08-12T16:52:19Z,Obsidian-0.8.4.AppImage,3798,77733925
00.08.04,2020-08-12T16:52:19Z,Obsidian-0.8.4.dmg,8340,72521708
00.08.04,2020-08-12T16:52:19Z,Obsidian.0.8.4.exe,12757,54286400
00.08.04,2020-08-12T16:52:19Z,obsidian-0.8.4.asar.gz,13884,5037098
00.08.04,2020-08-12T16:52:19Z,obsidian_0.8.4_amd64.snap,1405,65204224
00.08.05,2020-08-22T00:30:26Z,obsidian-0.8.5.asar.gz,646,5097910
00.08.06,2020-08-24T22:15:37Z,obsidian-0.8.6.asar.gz,162,5123031
00.08.07,2020-08-24T23:03:12Z,obsidian-0.8.7.asar.gz,196,5123086
00.08.08,2020-08-25T00:48:33Z,obsidian-0.8.8.asar.gz,860,5123137
00.08.09,2020-08-31T18:37:11Z,Obsidian-0.8.9.AppImage,2117,77832597
00.08.09,2020-08-31T18:37:11Z,Obsidian-0.8.9.dmg,4960,72606782
00.08.09,2020-08-31T18:37:11Z,Obsidian.0.8.9.exe,6555,54347736
00.08.09,2020-08-31T18:37:11Z,obsidian-0.8.9.asar.gz,10667,5123157
00.08.09,2020-08-31T18:37:11Z,obsidian_0.8.9_amd64.snap,700,65290240
00.08.10,2020-08-31T18:37:30Z,obsidian-0.8.10.asar.gz,500,5121938
00.08.11,2020-09-01T20:23:59Z,obsidian-0.8.11.asar.gz,814,5125859
00.08.12,2020-09-07T19:24:14Z,Obsidian-0.8.12.AppImage,2106,81347115
00.08.12,2020-09-07T19:24:14Z,Obsidian-0.8.12.dmg,4631,82989104
00.08.12,2020-09-07T19:24:14Z,Obsidian.0.8.12.exe,5760,58845312
00.08.12,2020-09-07T19:24:14Z,obsidian-0.8.12.asar.gz,11475,5125860
00.08.12,2020-09-07T19:24:14Z,obsidian_0.8.12_amd64.snap,579,68386816
00.08.13,2020-09-07T19:24:33Z,obsidian-0.8.13.asar.gz,726,5139398
00.08.14,2020-09-10T21:39:57Z,Obsidian-0.8.14.AppImage,2202,81359524
00.08.14,2020-09-10T21:39:57Z,Obsidian-0.8.14.dmg,4657,83043984
00.08.14,2020-09-10T21:39:57Z,Obsidian.0.8.14.exe,6201,58858768
00.08.14,2020-09-10T21:39:57Z,obsidian-0.8.14.asar.gz,11836,5139953
00.08.14,2020-09-10T21:39:57Z,obsidian_0.8.14_amd64.snap,699,68399104
00.08.15,2020-09-14T21:26:48Z,Obsidian-0.8.15.AppImage,2337,81376000
00.08.15,2020-09-14T21:26:48Z,Obsidian-0.8.15.dmg,4214,83065579
00.08.15,2020-09-14T21:26:48Z,Obsidian.0.8.15.exe,5211,58872664
00.08.15,2020-09-14T21:26:48Z,obsidian-0.8.15.asar.gz,12405,5161165
00.08.15,2020-09-14T21:26:48Z,obsidian_0.8.15_amd64.snap,897,68419584
00.09.00,2020-09-21T19:52:41Z,obsidian-0.9.0.asar.gz,826,5143577
00.09.01,2020-09-24T19:11:11Z,Obsidian-0.9.1.AppImage,2015,81380156
00.09.01,2020-09-24T19:11:11Z,Obsidian-0.9.1.dmg,4120,83072203
00.09.01,2020-09-24T19:11:11Z,Obsidian.0.9.1.exe,5250,58841592
00.09.01,2020-09-24T19:11:11Z,obsidian-0.9.1.asar.gz,11712,5166490
00.09.01,2020-09-24T19:11:11Z,obsidian-0.9.1.tar.gz,58,77178761
00.09.01,2020-09-24T19:11:11Z,obsidian_0.9.1_amd64.snap,639,68386816
00.09.02,2020-09-30T19:40:54Z,Obsidian-0.9.2.AppImage,2188,81384080
00.09.02,2020-09-30T19:40:54Z,Obsidian-0.9.2.dmg,4132,83072032
00.09.02,2020-09-30T19:40:54Z,Obsidian.0.9.2.exe,5087,58848168
00.09.02,2020-09-30T19:40:54Z,obsidian-0.9.2.asar.gz,11962,5174879
00.09.02,2020-09-30T19:40:54Z,obsidian-0.9.2.tar.gz,77,77186356
00.09.02,2020-09-30T19:40:54Z,obsidian_0.9.2_amd64.snap,631,68395008
00.09.03,2020-10-05T19:57:18Z,Obsidian-0.9.3.AppImage,2053,81429208
00.09.03,2020-10-05T19:57:18Z,Obsidian-0.9.3.dmg,4201,83136253
00.09.03,2020-10-05T19:57:18Z,Obsidian.0.9.3.exe,5466,58857968
00.09.03,2020-10-05T19:57:18Z,obsidian-0.9.3.asar.gz,13623,5227190
00.09.03,2020-10-05T19:57:18Z,obsidian-0.9.3.tar.gz,75,77243167
00.09.03,2020-10-05T19:57:18Z,obsidian_0.9.3_amd64.snap,666,68407296
00.09.04,2020-10-13T14:29:14Z,Obsidian-0.9.4.AppImage,2160,81449787
00.09.04,2020-10-13T14:29:14Z,Obsidian-0.9.4.dmg,4969,83144276
00.09.04,2020-10-13T14:29:14Z,Obsidian.0.9.4.exe,6349,58866168
00.09.04,2020-10-13T14:29:14Z,obsidian-0.9.4.asar.gz,12348,5239176
00.09.04,2020-10-13T14:29:14Z,obsidian-0.9.4.tar.gz,76,77254354
00.09.04,2020-10-13T14:29:14Z,obsidian_0.9.4_amd64.snap,631,68440064
